puid,x_coord_epsg4326,y_coord_epsg4326,species
30,110.3808209,-5.827925344,"Cuke,Trout"
31,110.6749848,-6.536571856,"Cuke,Trout"
32,111.3636877,-6.680307082,"Cuke,Trout"
33,110.4653724,-8.106101463,"Cuke,Trout"
34,112.4865567,-8.383519857,"Cuke,Trout"
35,112.226058,-6.877860663,"Cuke,Trout"
36,112.7111606,-5.81733932,"Cuke,Trout"
37,113.1303744,-6.895819928,"Cuke,Trout"
38,113.2351962,-7.344451789,"Cuke,Trout"
39,113.7711811,-7.685134631,"Cuke,Trout"
40,113.4497686,-8.468991913,"Cuke,Trout"
41,110.1359896,-2.791715456,"Cuke,Trout"
42,110.0675478,-2.274015316,"Cuke,Trout"
43,109.0180895,-1.553313518,"Cuke,Trout"
44,105.6743581,-0.974012259,"Cuke,Trout"
45,105.2910767,-1.197047549,"Cuke,Trout"
46,105.4153012,-1.737874685,"Cuke,Trout"
47,105.7941329,-2.390202838,"Cuke,Trout"
48,106.3052245,-2.090992143,"Cuke,Trout"
49,106.9507143,-2.345005586,"Cuke,Trout"
50,106.2432906,-3.203145796,"Cuke,Trout"
51,107.7864543,-2.974110633,"Cuke,Trout"
52,108.7585746,0.661321284,"Cuke,Trout"
53,108.0399211,0.231764313,"Cuke,Trout"
54,107.2314374,0.141327889,"Cuke,Trout"
55,107.0966903,0.593501125,"Cuke,Trout"
56,106.737364,0.955215462,"Cuke,Trout"
57,107.4279478,1.073886512,"Cuke,Trout"
58,108.919658,2.750422104,"Cuke,Trout"
59,109.050531,2.198207279,"Cuke,Trout"
60,107.7126813,3.188646609,"Cuke,Trout"
61,108.0676021,4.121948399,"Cuke,Trout"
62,113.2321692,3.503338695,"Cuke,Trout"
63,109.8557439,7.682116346,"Cuke,Trout"
64,114.6028774,5.013075509,"Cuke,Trout"
65,115.2713558,5.333622705,"Cuke,Trout"
66,115.4061034,6.152405311,"Cuke,Trout"
67,115.887891,5.934847089,"Cuke,Trout"
68,114.2778516,7.874895202,"Cuke,Trout"
69,113.2051938,8.102372346,"Cuke,Trout"
